timestamp,17314,17316,17318,17459,17502,17506,19615
2018-10-27 01:15:00,2.6799999999999997,36.6,4.57,,5.529999999999999,3.685,
2019-02-11 12:30:00,,,5.6,,,6.515000000000001,4.035
2018-11-14 01:00:00,9.05,16.565,15.850000000000001,,10.55,,
2018-12-03 14:35:00,4.585,11.115,4.865,8.02,6.1,4.5,
2018-11-10 17:00:00,14.93,13.0,10.17,,11.02,13.934999999999999,
2018-11-30 20:00:00,11.385,10.885000000000002,7.915,,,10.985,
2018-12-26 10:00:00,13.3,,,0.55,11.850000000000001,11.1,12.55
2018-10-24 22:45:00,22.5,16.37,20.72,,27.123333333333335,23.08,
2018-11-08 06:25:00,6.699999999999999,13.535,11.485,,14.08,13.935,
2018-12-28 13:10:00,14.15,,,8.32,14.485,14.315000000000001,16.285
2019-01-28 14:15:00,,,6.85,3.8499999999999996,,3.45,2.415
2018-12-16 19:45:00,6.176666666666667,5.449999999999999,9.83,6.9350000000000005,7.119999999999999,8.835,
2018-10-25 21:55:00,4.8149999999999995,4.615,6.22,,6.385,5.48,
2018-12-11 06:35:00,19.700000000000003,22.275,23.85,,23.535,,
2018-12-12 12:50:00,9.8,14.635000000000002,8.865,,,8.335,
2019-01-13 16:55:00,,9.385,8.923333333333334,,,9.6,6.4
2018-11-24 10:15:00,60.665,,58.335,,,74.315,
2018-11-11 21:15:00,13.865,16.62,13.08,,15.85,15.05,
2018-11-15 23:10:00,25.950000000000003,25.835,24.53,,27.85,28.065,
2019-02-17 06:05:00,29.265,,37.5,7.85,31.965,26.47,27.7
2018-10-07 17:30:00,9.68,9.23,8.780000000000001,,,,
2019-01-19 12:15:00,,14.885,14.05,2.465,,36.6,10.934999999999999
2018-11-20 02:45:00,,,,,4.785,,
2018-11-26 20:50:00,61.17,57.55,48.185,,,61.965,
2018-11-17 06:40:00,27.435000000000002,29.385,24.25,,25.665,,
2019-01-19 03:35:00,,,21.17,0.97,,10.27,11.100000000000001
2019-02-02 11:55:00,,,5.1850000000000005,,,4.800000000000001,4.699999999999999
2018-10-21 20:35:00,3.0650000000000004,5.3,3.4850000000000003,,6.234999999999999,6.23,
2018-11-29 17:00:00,12.899999999999999,12.515,11.9,,,10.98,
2018-10-09 18:55:00,16.65,15.935,15.615000000000002,,,,
2018-11-30 04:55:00,11.219999999999999,14.485,14.200000000000001,,,11.33,
2018-12-23 06:55:00,1.065,2.135,1.7000000000000002,0.5,2.75,1.4,1.42
2019-02-01 23:35:00,,,,,,16.285,13.5
2019-02-17 06:20:00,31.65,,,4.52,32.085,27.700000000000003,31.25
2018-12-07 11:15:00,17.685000000000002,15.985,14.1,18.25,12.965,16.85,
2018-10-29 13:05:00,12.684999999999999,17.68,15.25,13.485,12.615,10.335,
2018-12-16 11:00:00,9.58,24.85,9.45,16.015,11.07,14.115,
2018-12-24 17:55:00,15.670000000000002,,15.6,0.7,16.52,14.370000000000001,16.47
2018-10-28 00:05:00,3.665,5.415,5.949999999999999,,7.970000000000001,5.865,
